Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,URL
GeForce 7300 SE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,266 MHz,4 / 3 / 4 / 2,/gpu-specs/geforce-7300-se.c726
GeForce 7350 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",450 MHz,400 MHz,4 / 3 / 4 / 2,/gpu-specs/geforce-7350-le.c1766
GeForce 7500 LE,G72,"Mar 22nd, 2006",PCIe 1.0 x16,"64 MB, DDR2, 64 bit",475 MHz,405 MHz,8 / 5 / 8 / 4,/gpu-specs/geforce-7500-le.c1772
GeForce 7600 GS,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gs.c162
GeForce 7600 GS AGP,G73B,"Jul 1st, 2006",AGP 8x,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gs-agp.c751
GeForce 7600 GS AGP,G71,"Jul 1st, 2006",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,725 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gs-agp.c1770
GeForce 7600 GT,G73B,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gt.c152
GeForce 7600 GT Mac Edition,G73,"Sep 2nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gt-mac-edition.c2241
GeForce 7600 GT Mac Edition,G73B,"Sep 2nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",560 MHz,700 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7600-gt-mac-edition.c4027
GeForce 7600 LE,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",400 MHz,400 MHz,8 / 4 / 8 / 8,/gpu-specs/geforce-7600-le.c1768
GeForce 7650 GS,G73B,"Mar 22nd, 2006",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",450 MHz,400 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-7650-gs.c1769
GeForce 7800 GS 20Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,20 / 7 / 20 / 16,/gpu-specs/geforce-7800-gs-20pipes-agp.c3733
GeForce 7800 GS 24Pipes AGP,G70,"Feb 2nd, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7800-gs-24pipes-agp.c3734
GeForce 7800 GS AGP,G70,"Feb 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",375 MHz,600 MHz,16 / 6 / 16 / 8,/gpu-specs/geforce-7800-gs-agp.c3732
GeForce 7800 GS+ 20Pipes AGP,G71,"Sep 28th, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,20 / 7 / 20 / 16,/gpu-specs/geforce-7800-gs-20pipes-agp.c3731
GeForce 7800 GS+ 24Pipes AGP,G71,"Sep 28th, 2006",AGP 8x,"512 MB, GDDR3, 256 bit",425 MHz,625 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7800-gs-24pipes-agp.c166
GeForce 7800 GS+ AGP,G71,"Sep 28th, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",375 MHz,600 MHz,16 / 6 / 16 / 8,/gpu-specs/geforce-7800-gs-agp.c150
GeForce 7900 GS,G71,"May 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16,/gpu-specs/geforce-7900-gs.c184
GeForce 7900 GS AGP,G71,"Apr 2nd, 2006",AGP 8x,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16,/gpu-specs/geforce-7900-gs-agp.c753
GeForce 7900 GT,G71,"Mar 9th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7900-gt.c153
GeForce 7900 GTO,G71,"Oct 1st, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,660 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7900-gto.c185
GeForce 7900 GTX,G71,"Mar 9th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,800 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7900-gtx.c154
GeForce 7900 GX2,G71,"Apr 30th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7900-gx2.c172
GeForce 7950 GT,G71,"Aug 6th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",550 MHz,700 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7950-gt.c183
GeForce 7950 GX2,G71,"Jun 5th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-7950-gx2.c169
GeForce 8800 GTS 640,G80,"Nov 8th, 2006",PCIe 1.0 x16,"640 MB, GDDR3, 320 bit",513 MHz,792 MHz,96 / 24 / 20,/gpu-specs/geforce-8800-gts-640.c757
GeForce 8800 GTX,G80,"Nov 8th, 2006",PCIe 1.0 x16,"768 MB, GDDR3, 384 bit",576 MHz,900 MHz,128 / 32 / 24,/gpu-specs/geforce-8800-gtx.c187
GeForce Go 6200,NV44B,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 3 / 4 / 2,/gpu-specs/geforce-go-6200.c1568
GeForce Go 6400,NV44,"Feb 1st, 2006",PCIe 1.0 x16,"32 MB, DDR, 64 bit",400 MHz,350 MHz,4 / 3 / 4 / 2,/gpu-specs/geforce-go-6400.c1567
GeForce Go 7200,G72,"Sep 1st, 2006",PCIe 1.0 x16,"64 MB, GDDR3, 32 bit",450 MHz,350 MHz,4 / 3 / 4 / 1,/gpu-specs/geforce-go-7200.c1584
GeForce Go 7600,G73,"Mar 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,350 MHz,8 / 4 / 8 / 8,/gpu-specs/geforce-go-7600.c1577
GeForce Go 7600 GT,G73B,"Aug 1st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,600 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-go-7600-gt.c1578
GeForce Go 7700,G73B,"Aug 1st, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",450 MHz,500 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-go-7700.c1576
GeForce Go 7800,G70,"Mar 3rd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",400 MHz,550 MHz,16 / 6 / 16 / 16,/gpu-specs/geforce-go-7800.c1575
GeForce Go 7900 GS,G71,"Apr 18th, 2006",MXM-II,"256 MB, GDDR3, 256 bit",375 MHz,500 MHz,20 / 7 / 20 / 16,/gpu-specs/geforce-go-7900-gs.c1573
GeForce Go 7900 GTX,G71,"Apr 18th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,600 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-go-7900-gtx.c1572
GeForce Go 7900 SE,G73,"Apr 18th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",350 MHz,333 MHz,12 / 5 / 12 / 8,/gpu-specs/geforce-go-7900-se.c1849
GeForce Go 7950 GTX,G71,"Oct 12th, 2006",MXM-III,"512 MB, GDDR3, 256 bit",575 MHz,700 MHz,24 / 8 / 24 / 16,/gpu-specs/geforce-go-7950-gtx.c943
Playstation 3 GPU 90nm,RSX-90nm,"Nov 11th, 2006",IGP,"256 MB, GDDR3, 128 bit",550 MHz,650 MHz,24 / 8 / 24 / 8,/gpu-specs/playstation-3-gpu-90nm.c3405
Quadro FX 1500,G71,"Apr 20th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",325 MHz,625 MHz,16 / 6 / 16 / 16,/gpu-specs/quadro-fx-1500.c1346
Quadro FX 1500M,G71,"Apr 18th, 2006",MXM-II,"512 MB, GDDR3, 256 bit",375 MHz,500 MHz,20 / 7 / 20 / 16,/gpu-specs/quadro-fx-1500m.c1442
Quadro FX 350,G72,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",550 MHz,405 MHz,4 / 3 / 4 / 2,/gpu-specs/quadro-fx-350.c1348
Quadro FX 3500,G71,"May 22nd, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",450 MHz,660 MHz,20 / 7 / 20 / 16,/gpu-specs/quadro-fx-3500.c1347
Quadro FX 350M,G72,"Mar 13th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,450 MHz,4 / 3 / 4 / 2,/gpu-specs/quadro-fx-350m.c1443
Quadro FX 4500 X2,G71,"Apr 24th, 2006",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",500 MHz,605 MHz,24 / 8 / 24 / 16,/gpu-specs/quadro-fx-4500-x2.c1341
Quadro FX 550,NV43,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",360 MHz,400 MHz,8 / 4 / 8 / 8,/gpu-specs/quadro-fx-550.c1333
Quadro FX 5500,G71,"Apr 20th, 2006",PCIe 1.0 x16,"1024 MB, DDR2, 256 bit",650 MHz,505 MHz,24 / 8 / 24 / 16,/gpu-specs/quadro-fx-5500.c1335
Quadro FX 5500 SDI,G71,"Apr 20th, 2006",PCIe 1.0 x16,"1024 MB, GDDR3, 256 bit",650 MHz,505 MHz,24 / 8 / 24 / 16,/gpu-specs/quadro-fx-5500-sdi.c1336
Quadro FX 550M,G73,"Mar 13th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",450 MHz,500 MHz,12 / 5 / 12 / 8,/gpu-specs/quadro-fx-550m.c1843
Quadro FX 560,G73,"Apr 20th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",350 MHz,600 MHz,12 / 5 / 12 / 8,/gpu-specs/quadro-fx-560.c1332
Quadro NVS 110M,G72,"Jun 1st, 2006",PCIe 1.0 x16,"512 MB, DDR, 64 bit",300 MHz,300 MHz,4 / 3 / 4 / 2,/gpu-specs/quadro-nvs-110m.c1447
Quadro NVS 120M,G72B,"Jun 1st, 2006",MXM-III,"512 MB, DDR2, 64 bit",450 MHz,700 MHz,4 / 3 / 4 / 2,/gpu-specs/quadro-nvs-120m.c1470
Quadro NVS 285,NV44,"Jun 6th, 2006",PCIe 1.0 x16,"128 MB, DDR2, 64 bit",275 MHz,300 MHz,4 / 3 / 4 / 2,/gpu-specs/quadro-nvs-285.c1454
Quadro NVS 300M,G73,"May 24th, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,700 MHz,8 / 4 / 8 / 8,/gpu-specs/quadro-nvs-300m.c1464
Quadro NVS 440 PCIe x1,NV43,"Feb 14th, 2006",PCIe 1.0 x1,"128 MB, GDDR3, 128 bit",250 MHz,250 MHz,8 / 4 / 8 / 8,/gpu-specs/quadro-nvs-440-pcie-x1.c4142
Quadro NVS 440 PCIe x16,NV43,"Feb 14th, 2006",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",250 MHz,250 MHz,8 / 4 / 8 / 8,/gpu-specs/quadro-nvs-440-pcie-x16.c1463
Quadro NVS 510M,G71,"Aug 21st, 2006",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,600 MHz,24 / 8 / 24 / 16,/gpu-specs/quadro-nvs-510m.c2023
FireStream 9170,RV670,"Nov 8th, 2007",PCIe 2.0 x16,"2 GB, GDDR3, 256 bit",777 MHz,802 MHz,320 / 16 / 16,/gpu-specs/firestream-9170.c839
ES1000,ES1000,"Oct 18th, 2007",PCI,System Shared,200 MHz,System Shared,0 / 0 / 3 / 1,/gpu-specs/es1000.c2102
FireGL V3600,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4,/gpu-specs/firegl-v3600.c696
FireGL V5600,RV630,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4,/gpu-specs/firegl-v5600.c849
FireGL V7600,R600,"Aug 6th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16,/gpu-specs/firegl-v7600.c855
FireGL V7700,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,/gpu-specs/firegl-v7700.c691
FireGL V8600,R600,"May 14th, 2007",PCIe 1.0 x16,"1024 MB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16,/gpu-specs/firegl-v8600.c689
FireGL V8650,R600,"Aug 6th, 2007",PCIe 1.0 x16,"2 GB, GDDR4, 512 bit",688 MHz,868 MHz,320 / 16 / 16,/gpu-specs/firegl-v8650.c690
Mobility FireGL V5600,M76,"May 14th, 2007",PCIe 2.0 x16,"256 MB, GDDR3, 128 bit",500 MHz,400 MHz,120 / 8 / 4,/gpu-specs/mobility-firegl-v5600.c1667
Mobility Radeon HD 2400,M72,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",450 MHz,400 MHz,40 / 4 / 4,/gpu-specs/mobility-radeon-hd-2400.c1616
Mobility Radeon HD 2400 XT,M74,"May 14th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",600 MHz,400 MHz,40 / 4 / 4,/gpu-specs/mobility-radeon-hd-2400-xt.c1615
Mobility Radeon HD 2400 XT Mac Edition,M74,"Jun 28th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 64 bit",650 MHz,800 MHz,40 / 4 / 4,/gpu-specs/mobility-radeon-hd-2400-xt-mac-edition.c2255
Mobility Radeon HD 2600,M76,"May 14th, 2007",MXM-II,"256 MB, DDR2, 128 bit",500 MHz,400 MHz,120 / 8 / 4,/gpu-specs/mobility-radeon-hd-2600.c1619
Mobility Radeon HD 2600 XT,M76,"May 14th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",680 MHz,750 MHz,120 / 8 / 4,/gpu-specs/mobility-radeon-hd-2600-xt.c1620
Mobility Radeon HD 2600 XT Mac Edition,M76,"Jul 26th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",600 MHz,685 MHz,120 / 8 / 4,/gpu-specs/mobility-radeon-hd-2600-xt-mac-edition.c2253
Mobility Radeon HD 2700,M76,"Dec 12th, 2007",MXM-II,"256 MB, GDDR3, 128 bit",650 MHz,700 MHz,120 / 8 / 4,/gpu-specs/mobility-radeon-hd-2700.c1621
Mobility Radeon X1600 Mac Edition,M56,"Nov 8th, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",398 MHz,396 MHz,12 / 5 / 4 / 4,/gpu-specs/mobility-radeon-x1600-mac-edition.c2336
Mobility Radeon X2500,M66,"Jun 1st, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",460 MHz,400 MHz,12 / 5 / 4 / 4,/gpu-specs/mobility-radeon-x2500.c1613
Radeon E2400,RV610,"Jun 28th, 2007",MXM-II,"128 MB, GDDR3, 64 bit",600 MHz,700 MHz,40 / 4 / 4,/gpu-specs/radeon-e2400.c1739
Radeon HD 2400 PRO,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-2400-pro.c997
Radeon HD 2400 PRO AGP,RV610,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-2400-pro-agp.c431
Radeon HD 2400 PRO PCI,RV610,"Jun 28th, 2007",PCI,"512 MB, DDR2, 64 bit",525 MHz,400 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-2400-pro-pci.c428
Radeon HD 2400 XT,RV610,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",650 MHz,500 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-2400-xt.c194
Radeon HD 2600 PRO,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",600 MHz,500 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-pro.c212
Radeon HD 2600 PRO AGP,RV630,"Jun 28th, 2007",AGP 8x,"512 MB, DDR2, 128 bit",594 MHz,396 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-pro-agp.c1001
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR4, 128 bit",800 MHz,1100 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-xt.c1007
Radeon HD 2600 XT,RV630,"Jun 28th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",800 MHz,700 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-xt.c193
Radeon HD 2600 XT AGP,RV635,"Jun 28th, 2007",AGP 8x,"256 MB, DDR2, 128 bit",722 MHz,405 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-xt-agp.c2270
Radeon HD 2600 XT AGP,RV630,"Jun 28th, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-xt-agp.c316
Radeon HD 2600 XT X2,RV630,"Jul 26th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",800 MHz,800 MHz,120 / 8 / 4,/gpu-specs/radeon-hd-2600-xt-x2.c1005
Radeon HD 2900 GT,R600,"Nov 6th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 256 bit",601 MHz,800 MHz,240 / 12 / 12,/gpu-specs/radeon-hd-2900-gt.c220
Radeon HD 2900 PRO,R600,"Dec 12th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,800 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-2900-pro.c434
Radeon HD 2900 XT,R600,"May 14th, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 512 bit",743 MHz,828 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-2900-xt.c192
Radeon HD 2950 PRO,RV670,Never Released,PCIe 2.0 x16,"256 MB, GDDR3, 256 bit",600 MHz,600 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-2950-pro.c3324
Radeon HD 2950 XTX,RV670,Never Released,PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-2950-xtx.c3325
Radeon HD 3450,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-3450.c224
Radeon HD 3450 X2,RV620,"Dec 10th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",600 MHz,500 MHz,40 / 4 / 4,/gpu-specs/radeon-hd-3450-x2.c3041
Radeon HD 3850,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",668 MHz,830 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-3850.c486
Radeon HD 3870,RV670,"Nov 19th, 2007",PCIe 2.0 x16,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-3870.c203
Radeon HD 3870 AGP,RV670,Never Released,AGP 8x,"512 MB, GDDR4, 256 bit",777 MHz,1126 MHz,320 / 16 / 16,/gpu-specs/radeon-hd-3870-agp.c3326
Radeon X1050 AGP,RV360,"Nov 25th, 2007",AGP 8x,"128 MB, DDR, 128 bit",250 MHz,203 MHz,4 / 2 / 4 / 4,/gpu-specs/radeon-x1050-agp.c2088
Radeon X1600 PRO AGP,RV530,"Oct 1st, 2007",AGP 8x,"256 MB, GDDR3, 128 bit",500 MHz,390 MHz,12 / 5 / 4 / 4,/gpu-specs/radeon-x1600-pro-agp.c157
Radeon X1650,RV516,"Nov 20th, 2007",PCIe 1.0 x16,"256 MB, DDR2, 64 bit",635 MHz,400 MHz,4 / 2 / 4 / 4,/gpu-specs/radeon-x1650.c2091
Radeon X1650 GT,RV560,"May 1st, 2007",PCIe 1.0 x16,"128 MB, GDDR3, 128 bit",400 MHz,400 MHz,24 / 8 / 8 / 8,/gpu-specs/radeon-x1650-gt.c447
Radeon X1650 GTO,RV530,"Dec 2nd, 2007",PCIe 1.0 x16,"256 MB, DDR2, 128 bit",587 MHz,392 MHz,12 / 5 / 4 / 4,/gpu-specs/radeon-x1650-gto.c2089
Radeon X1700 FSC,RV535,"Nov 5th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",587 MHz,695 MHz,12 / 5 / 4 / 4,/gpu-specs/radeon-x1700-fsc.c2090
Radeon X1700 SE,RV560,"Nov 30th, 2007",PCIe 1.0 x16,"512 MB, DDR2, 128 bit",500 MHz,500 MHz,24 / 8 / 8 / 8,/gpu-specs/radeon-x1700-se.c2094
Radeon X800 GT AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",473 MHz,493 MHz,8 / 6 / 8 / 8,/gpu-specs/radeon-x800-gt-agp.c2103
Radeon X800 GTO,R423,"Dec 29th, 2007",PCIe 1.0 x16,"128 MB, DDR, 256 bit",400 MHz,350 MHz,12 / 6 / 12 / 12,/gpu-specs/radeon-x800-gto.c2092
Radeon X800 GTO AGP,R420,"Nov 8th, 2007",AGP 8x,"256 MB, GDDR3, 256 bit",400 MHz,490 MHz,12 / 6 / 12 / 12,/gpu-specs/radeon-x800-gto-agp.c2093
Radeon Xpress 1100 IGP,RC410,"Oct 17th, 2007",PCIe 1.0 x16,System Shared,300 MHz,System Shared,2 / 2 / 2 / 2,/gpu-specs/radeon-xpress-1100-igp.c2477
Radeon Xpress 1150 IGP,RS482,"Oct 17th, 2007",PCIe 1.0 x16,System Shared,400 MHz,System Shared,2 / 2 / 2 / 2,/gpu-specs/radeon-xpress-1150-igp.c2146
Xbox 360 GPU 80nm,Xenos Falcon,"Oct 27th, 2007",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,/gpu-specs/xbox-360-gpu-80nm.c3507
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,/gpu-specs/gma-3100.c1793
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,4 / 0 / 4 / 4,/gpu-specs/gma-3100.c3117
GMA 3100,Bearlake,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,8 / 1 / 8 / 1,/gpu-specs/gma-3100.c1733
GMA 3150,Pineview,"May 9th, 2007",FSB,System Shared,400 MHz,System Shared,16 / 2 / 1,/gpu-specs/gma-3150.c3375
GMA 3150,Pineview,"May 9th, 2007",PCI,System Shared,400 MHz,System Shared,16 / 2 / 1,/gpu-specs/gma-3150.c1794
GMA X3100,Crestline,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1,/gpu-specs/gma-x3100.c3124
GMA X3100,Broadwater,"May 9th, 2007",FSB,System Shared,500 MHz,System Shared,8 / 1 / 8 / 1,/gpu-specs/gma-x3100.c1233
GMA X3500,Bearlake,"Aug 1st, 2007",FSB,System Shared,667 MHz,System Shared,8 / 1 / 8 / 1,/gpu-specs/gma-x3500.c3118
GeForce 7050 + nForce 620i,C73,"Oct 4th, 2007",PCI,System Shared,500 MHz,System Shared,2 / 1 / 2 / 2,/gpu-specs/geforce-7050-nforce-620i.c2150
GeForce 7050 + nForce 630i,C73,"Oct 4th, 2007",PCI,System Shared,500 MHz,System Shared,2 / 1 / 2 / 2,/gpu-specs/geforce-7050-nforce-630i.c1863
GeForce 7100 + nForce 630i,C73,"Oct 4th, 2007",PCI,System Shared,600 MHz,System Shared,4 / 1 / 2 / 2,/gpu-specs/geforce-7100-nforce-630i.c2149
GeForce 7150 + nForce 630i,C73,"Nov 16th, 2007",PCI,System Shared,630 MHz,System Shared,2 / 1 / 2 / 2,/gpu-specs/geforce-7150-nforce-630i.c1959
GeForce 7150M + nForce 630M,C67,"Nov 16th, 2007",PCIe 1.0 x16,System Shared,425 MHz,System Shared,2 / 1 / 2 / 2,/gpu-specs/geforce-7150m-nforce-630m.c1585
GeForce 8400,G98S,"Dec 4th, 2007",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",540 MHz,500 MHz,8 / 4 / 4,/gpu-specs/geforce-8400.c2045
GeForce 8400 GS PCI,G98S,"Dec 4th, 2007",PCI,"512 MB, DDR2, 64 bit",567 MHz,333 MHz,8 / 4 / 4,/gpu-specs/geforce-8400-gs-pci.c3320
GeForce 8400 GS Rev. 2,G98S,"Dec 4th, 2007",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",567 MHz,400 MHz,8 / 4 / 4,/gpu-specs/geforce-8400-gs-rev-2.c770
GeForce 8400M G,G86,"May 9th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 64 bit",400 MHz,400 MHz,8 / 8 / 4,/gpu-specs/geforce-8400m-g.c1697
GeForce 8400M GS,G86S,"May 9th, 2007",MXM-I,"256 MB, DDR2, 64 bit",400 MHz,400 MHz,16 / 8 / 4,/gpu-specs/geforce-8400m-gs.c1696
GeForce 8400M GT,G86S,"May 9th, 2007",PCIe 1.0 x16,"256 MB, GDDR3, 128 bit",450 MHz,602 MHz,16 / 8 / 4,/gpu-specs/geforce-8400m-gt.c1695
GeForce 8600 GTS Mac Edition,G84,"Sep 21st, 2007",PCIe 1.0 x16,"512 MB, GDDR3, 128 bit",675 MHz,1008 MHz,32 / 16 / 8,/gpu-specs/geforce-8600-gts-mac-edition.c2257
GeForce 8600M GS,G86,"May 1st, 2007",MXM-II,"512 MB, DDR2, 128 bit",450 MHz,400 MHz,16 / 8 / 4,/gpu-specs/geforce-8600m-gs.c1533
GeForce 8600M GT,G84,"Dec 31st, 2007",MXM-II,"512 MB, DDR2, 128 bit",475 MHz,400 MHz,32 / 16 / 8,/gpu-specs/geforce-8600m-gt.c2364
GeForce 8600M GT,G84,"May 1st, 2007",MXM-II,"512 MB, GDDR3, 128 bit",475 MHz,700 MHz,32 / 16 / 8,/gpu-specs/geforce-8600m-gt.c938
GeForce 8600M GT Mac Edition,G84,"Oct 5th, 2007",MXM-II,"512 MB, GDDR3, 128 bit",470 MHz,635 MHz,32 / 16 / 8,/gpu-specs/geforce-8600m-gt-mac-edition.c2332
GeForce 8700M GT,G84,"Jun 1st, 2007",MXM-HE,"512 MB, GDDR3, 128 bit",625 MHz,800 MHz,32 / 16 / 8,/gpu-specs/geforce-8700m-gt.c1532
GeForce 8800 GT,G92,"Oct 29th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",600 MHz,900 MHz,112 / 56 / 16,/gpu-specs/geforce-8800-gt.c201
GeForce 8800 GTS 512,G92,"Dec 11th, 2007",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,820 MHz,128 / 64 / 16,/gpu-specs/geforce-8800-gts-512.c758
